GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inter-caller-service,dev.dayozoe.samples.caller.model,Conversation,45,0,0,0,3,0,5,0,5,0
inter-caller-service,dev.dayozoe.samples.caller.model,CallmeResponse,0,34,0,0,0,1,0,5,0,5
inter-caller-service,dev.dayozoe.samples.caller.model,CallmeRequest,15,15,0,0,0,1,1,3,1,3
inter-caller-service,dev.dayozoe.samples.caller.config,LoadBalancerConfigurationProperties.ServiceConfig,0,23,0,0,0,3,0,5,0,5
inter-caller-service,dev.dayozoe.samples.caller.config,LoadBalancerConfigurationProperties,0,12,0,0,0,2,0,2,0,2
inter-caller-service,dev.dayozoe.samples.caller.client,StaticServiceInstanceListSupplier,1,80,2,2,0,11,2,3,0,3
inter-caller-service,dev.dayozoe.samples.caller.client,ResponseTimeInterceptor,48,0,0,0,9,0,2,0,2,0
inter-caller-service,dev.dayozoe.samples.caller.client,StaticServiceInstance,19,52,0,0,2,6,2,5,2,5
inter-caller-service,dev.dayozoe.samples.caller.client,CustomCallmeClientLoadBalancerConfiguration,6,51,1,1,1,11,2,4,1,4
inter-caller-service,dev.dayozoe.samples.caller.client,WeightedTimeResponseLoadBalancer,163,0,10,0,23,0,11,0,6,0
inter-caller-service,dev.dayozoe.samples.caller.client,ResponseTimeHistory,216,0,12,0,32,0,12,0,6,0
inter-caller-service,dev.dayozoe.samples.caller.controller,ReactiveCallerController,79,6,0,0,13,2,3,1,3,1
inter-caller-service,dev.dayozoe.samples.caller.controller,CallerControllerWithFeign,47,37,0,0,6,6,4,2,4,2
inter-caller-service,dev.dayozoe.samples.caller.controller,CallerController,85,45,0,0,11,7,5,2,5,2
inter-caller-service,dev.dayozoe.samples.caller,InterCallerServiceApplication,37,41,0,0,12,11,3,5,3,5
inter-caller-service,dev.dayozoe.samples.caller,InterCallerServiceApplicationKt,10,0,0,0,2,0,1,0,1,0
